mcc,mcc_description,ratio,naics_code,naics_description
7941,"Commercial sports, professional sports clubs, athletic fields and sports promoters"
7991,Tourist attractions and exhibits
7992,Public golf courses
7993,Video amusement game supplies
7994,Video game arcades and establishments
7995,"Betting, including lottery tickets, casino gaming chips, off-track betting and wagers at race tracks"
7996,"Amusement parks, circuses, carnivals and fortune tellers"
7997,"Membership clubs (sports, recreation, athletic), country clubs and private golf courses"
7998,"Aquariums, seaquariums and dolphinariums"
7999,Recreation services — not elsewhere classified
8011,Doctors and physicians — not elsewhere classified
8021,Dentists and orthodontists
8031,Osteopaths
8041,Chiropractors
8042,Optometrists and ophthalmologists
8043,"Opticians, optical goods and eyeglasses"
8044,"Opticians, Optical Goods, and Eyeglasses (no longer valid for first presentments)"
8049,Podiatrists and chiropodists
8050,Nursing and personal care facilities
8062,Hospitals
8071,Medical and dental laboratories
8099,Medical services and health practitioners — not elsewhere classified
8111,Legal services and attorneys
8211,Elementary and secondary schools
8220,"Colleges, universities, professional schools and junior colleges"
8241,Correspondence schools
8244,Business and secretarial schools
8249,Trade and vocational schools
8299,Schools and educational services — not elsewhere classified
8351,Child care services
8398,Charitable and social service organizations
8641,"Civic, social and fraternal associations"
8651,Political organizations
8661,Religious organizations
8675,Automobile associations
8699,Membership organization — not elsewhere classified
8734,Testing laboratories (non-medical)
8911,"Architectural, engineering and surveying services"
8931,"Accounting, auditing and bookkeeping services"
8999,Professional services — not elsewhere classified
9211,"Court costs, including alimony and child support"
9222,Fines
9223,Bail and bond payments
9311,Tax payments
9399,Government services — not elsewhere classified
9402,Postal services — government only
9405,Intra – Government Transactions
9700,Automated Referral Service ( For Visa Only)
9701,Visa Credential Service ( For Visa Only)
9702,GCAS Emergency Services ( For Visa Only)
9950,Intra – Company Purchases ( For Visa Only)
